customer_id,natural_key,first_name,last_name,email,phone,address_line1,address_line2,city,state_region,postcode,country_code,latitude,longitude,birth_date,join_ts,is_vip,gdpr_consent
1,CUST-9-A9Z--A,Angelica,Johnson,ryantraci@example.org,64781862,17 Deborah Lookout,,Lake Maria,TAS,2653,AU,-43.063048,121.306436,2014-01-03,2024-01-14T20:26:03,False,True
2,CUST-0-Z9-ZZA,Gina,Jones,emily06@example.org,02 3838 4839,Unit 11 6 Ramirez Piazza,,Port Jill,WA,2639,AU,-40.560443,122.580835,1963-11-24,2025-01-08T16:43:37,False,True
3,CUST-9A--9ZA-,Matthew,Carroll,kennedytimothy@example.org,+61 458 265 233,Unit 18 74 Romero Avenue,,East Christineville,WA,5856,AU,-37.643156,126.593287,1993-03-18,2024-06-30T07:37:40,False,True
4,CUST-99--00--,Michelle,Payne,davidbaxter@example.org,+61 419 918 776,Apt. 454 922 Mitchell Dale,,Lake Scottberg,NSW,2983,AU,-36.240001,121.161923,1962-11-17,2024-06-10T14:36:21,False,True
5,CUST-Z909-0-0,Matthew,Rocha,stephen95@example.org,0434.541.085,241 Delgado Line,,Yatesmouth,ACT,2985,AU,-40.005995,120.772830,1972-05-29,2024-09-17T17:58:06,True,True
6,CUST--0A-0900,Laura,Rosario,dayjoseph@example.com,07 3606 0699,Flat 12 9 John Cross,,Carlfort,ACT,9262,AU,-39.652347,130.148948,1983-08-18,2024-09-13T06:30:16,False,True
7,CUST-------Z-,Timothy,Fitzgerald,lthompson@example.org,(03)-6503-8758,10 Flynn Ramp,,West Ambertown,ACT,7539,AU,-35.683345,124.300565,1965-03-13,2024-05-03T20:39:24,False,True
8,CUST--9--Z0--,Glenn,Martin,olsenbrianna@example.org,+61 7 2711 7603,83/932 Zimmerman Stairs,,New Nicholas,TAS,2017,AU,-38.824242,116.840168,1980-02-27,2024-02-02T12:18:33,False,False
9,CUST-A9Z9AAA-,Todd,Rogers,harveypamela@example.net,0495-507-831,Flat 93 69 Terrell Riviera,,Susanbury,WA,1762,AU,-35.176169,135.048466,1981-10-19,2024-08-30T14:49:14,False,True
10,CUST-9A990A9A,Alan,Erickson,heatherlowery@example.net,9887 8810,224 Howard Plaza,,Anthonyport,VIC,2307,AU,-42.598177,119.339521,2001-07-03,2024-05-07T02:44:40,False,True
11,CUST-A-0A-00-,Emily,Cross,marychung@example.org,0459-487-456,879 Michael Centreway,,Lake Jamie,TAS,2954,AU,-41.347969,143.362824,2000-10-26,2024-05-26T15:24:04,False,True
12,CUST-Z---9-A0,James,Reyes,jeremy79@example.com,1085.0573,7 Tara Avenue,,Kristychester,VIC,2915,AU,-35.472801,118.297309,2005-07-23,2024-02-11T06:45:56,False,True
13,CUST--A-0A---,Dean,Giles,markford@example.com,0473.258.650,04 Ann Crossing,,Haynesshire,SA,2357,AU,-37.544992,130.288983,1966-07-05,2024-01-05T16:41:08,True,True
14,CUST-ZZ--ZAZ-,Stephen,Williams,brownbarbara@example.com,+61-407-260-019,Unit 46 771 Chelsea Alleyway,,Jenniferton,QLD,9718,AU,-42.964135,147.125079,1983-09-23,2024-02-29T03:53:49,False,True
15,CUST--Z099-ZZ,Antonio,King,clifford33@example.net,(07) 4821 2173,Apt. 097 48 Louis Walk,,Adamsburgh,WA,2674,AU,-42.691803,151.191918,1974-06-30,2025-01-14T16:05:12,True,True
16,CUST-A--Z-9--,Kathy,Rodriguez,martinedward@example.com,(07).3158.8081,Level 8 760 Michaela Mall,,Port Monique,WA,2986,AU,-41.504703,116.111745,2010-03-25,2024-07-27T22:35:51,False,True
17,CUST-0Z99-0A-,Christina,Snyder,dakotasolis@example.com,+61 461 407 712,6 Blake Crossway,,East Rachel,NSW,2970,AU,-35.834134,130.412129,1987-05-19,2024-04-26T08:06:59,False,True
18,CUST-0--9Z9ZZ,Nicholas,Cline,lisa02@example.com,0402.476.713,Flat 48 4 Anderson Bridge,,Tammyland,VIC,8193,AU,-40.543129,143.457127,1999-02-24,2024-11-06T18:37:13,False,False
19,CUST-9A9909--,Cindy,Cruz,alexis83@example.net,(08).6819.0697,Flat 46 056 Adam Junction,,Port Kellyburgh,QLD,2673,AU,-42.753747,148.001873,2005-06-30,2024-06-07T14:52:08,False,True
20,CUST-90-Z99--,Robin,Erickson,dhernandez@example.org,+61 8 3475 1153,Suite 939 972 Davis Vale,,Anthonymouth,NT,2782,AU,-37.933384,124.889969,1999-08-20,2024-08-14T07:46:50,False,True
21,CUST--999ZZ-A,Gregory,Mccormick,michael57@example.net,0454-498-411,10 Schroeder Walkway,,East Allisonfort,TAS,6191,AU,-41.551575,131.005454,1966-07-14,2024-08-21T15:05:21,False,True
22,CUST-A-009A-9,Samantha,Moss,cherylcurry@example.com,+61 3 1198 7748,9/342 Reese Centre,,Alvarezside,SA,2903,AU,-42.786414,117.333564,2001-09-07,2024-12-07T19:20:16,False,True
23,CUST----09-09,Holly,Foster,llawrence@example.net,+61-420-308-833,8 Lewis Corner,,Port Jacob,NT,2733,AU,-41.254026,115.099334,1985-08-19,2024-04-30T09:53:34,True,True
24,CUST--90009-A,Henry,Tran,jenniferramirez@example.net,07.3522.0814,None,,Frankfurt,NSW,2233,AU,-36.302042,149.842481,1961-10-02,2025-01-26T20:57:36,False,True
25,CUST----0-099,Christopher,Pace,wilsonkerri@example.com,1956-1034,3 Wright Place,,New Carrie,SA,2794,AU,-36.018577,140.967255,2001-12-06,2024-03-06T22:39:20,False,True
26,CUST-A0-Z-90A,Elizabeth,Hamilton,jennifer22@example.org,(07).3054.6371,20 Miller Foreshore,,Mitchellmouth,TAS,2458,AU,-34.487959,128.862593,1967-05-07,2024-08-28T00:42:20,False,True
27,CUST----AAA9A,Heather,Herring,grodriguez@example.com,(07)33282581,101 Thomas Garden,,Hickschester,QLD,0900,AU,-41.437563,126.755807,2014-05-10,2024-11-06T04:10:12,False,True
28,CUST--A0-99Z0,Vickie,David,justinramirez@example.com,None,244 Sanders Grange,,Lake Mark,WA,2827,AU,-39.716220,126.822835,2005-05-23,2024-11-27T12:25:25,False,True
29,CUST-Z0909-9-,Laurie,Glover,sguzman@example.com,+61-3-7063-0110,Level 6 48 Hodges Bend,,Lopezshire,QLD,2979,AU,-41.545048,149.384875,1985-01-08,2024-08-18T08:52:43,False,True
30,CUST-Z0Z0-ZZ-,Jonathan,Schmitt,ehudson@example.org,(02).7734.3024,Suite 396 633 Cardenas Trunkway,,Mitchellport,WA,5130,AU,-36.799253,131.543114,1981-07-23,2024-12-19T17:20:02,False,True
31,CUST--09-9-ZZ,Elizabeth,Davis,matthew84@example.net,0734437852,436 Cory Vale,,West Barbara,VIC,2685,AU,-39.462547,124.264920,1980-09-06,2024-03-02T07:00:42,False,True
32,CUST---099--Z,Mandy,Frost,kenneth25@example.net,+61 7 6858 2158,5 Elizabeth Footway,,Caldwellview,ACT,2689,AU,-36.919815,117.063318,1964-01-31,2024-01-28T20:08:49,False,True
33,CUST-0A00ZZA-,Ariel,Johnson,cknight@example.org,5011-0629,Suite 117 341 Sean Strip,,Lake Thomas,QLD,2436,AU,-38.229788,139.458041,1973-08-11,2024-03-17T20:29:32,False,True
